chunk,season,n,chunk_min_date,chunk_max_date,train_max_date,xfg_log_loss,xfg_brier,xfg_auc,xfg_frozen_log_loss,xfg_frozen_brier,xfg_frozen_auc,xfg_zone_log_loss,xfg_zone_brier,xfg_zone_auc
42,2023-24,6481,20240222,20240225,20240215,0.6403126120567322,0.2257862687110901,0.6536954898673949,0.6411924362182617,0.22617776691913605,0.6494007608420567,0.6616604265075197,0.23459059512436678,0.6214613259663223
43,2023-24,9088,20240226,20240303,20240225,0.640104353427887,0.22547273337841034,0.6592168482003568,0.6412336230278015,0.2259775549173355,0.6550777077939341,0.658414865807596,0.2328780727067781,0.6307762321441963
44,2023-24,9508,20240304,20240310,20240303,0.6403934955596924,0.22600694000720978,0.6467618141086486,0.6423169374465942,0.22687846422195435,0.6405326193797466,0.6629152691896598,0.23519865023880693,0.6244096164415917
45,2023-24,8708,20240311,20240317,20240310,0.6337468028068542,0.22262395918369293,0.6661737749941629,0.6357656121253967,0.22353339195251465,0.6604634558184077,0.6525556621562553,0.2300904448583875,0.6481331361096918
46,2023-24,8762,20240318,20240324,20240317,0.6378176808357239,0.22460781037807465,0.6622926634352213,0.639820396900177,0.22553569078445435,0.6555756795436976,0.6582686209779182,0.23280735968357164,0.6390247163779955
47,2023-24,9464,20240325,20240331,20240324,0.6390619277954102,0.22532027959823608,0.651627326588168,0.6408351063728333,0.22611740231513977,0.6467770074841007,0.6628513278270997,0.23518535748904065,0.6252387092843571
48,2023-24,10204,20240401,20240407,20240331,0.6394978761672974,0.22492937743663788,0.6601585292091559,0.6412068009376526,0.22573021054267883,0.6550179280949664,0.6601217733057338,0.233864782957753,0.631564310431965
49,2023-24,10198,20240409,20240414,20240407,0.636818528175354,0.22427548468112946,0.6571736101144869,0.6396700739860535,0.2256184220314026,0.6482935545298686,0.6591648569733232,0.23332016727312338,0.6332934040717816
50,2024-25,7253,20241022,20241027,20240414,0.6350172162055969,0.2233164757490158,0.6529191676486473,0.6365670561790466,0.22404657304286957,0.6496702309495752,0.6560720424567884,0.23191414895601006,0.62723354568665
51,2024-25,9290,20241028,20241103,20241027,0.6354119777679443,0.2234569489955902,0.6639272172667681,0.6375963091850281,0.22448180615901947,0.6563729059704633,0.6567242217436444,0.23227731602633717,0.631969305039814
52,2024-25,10220,20241104,20241110,20241103,0.6343237161636353,0.22280754148960114,0.6694426317038444,0.6365157961845398,0.22380854189395905,0.6621846996872011,0.6549694848095152,0.2312696261087144,0.6440045103172007
53,2024-25,9271,20241111,20241117,20241110,0.6433963179588318,0.22699624300003052,0.6469078179696617,0.6445930600166321,0.22757521271705627,0.6417048716569757,0.6609999335224626,0.23429328555236906,0.6231392824061397
54,2024-25,8355,20241118,20241124,20241117,0.634419858455658,0.2229175567626953,0.6622077580921232,0.6367519497871399,0.22406043112277985,0.6545860390874003,0.6566392803283839,0.23221304402189638,0.628323518181987
